Attrition Date,Random Number,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Staff Number,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
28-May-22,26,41,Yes,Travel_Rarely,1102,Sales,1,Associates Degree,Life Sciences,1,1,STAFF-1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5
25-Aug-22,121,49,No,Travel_Frequently,279,Research & Development,8,High School,Life Sciences,1,2,STAFF-2,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7
28-Jun-21,23,37,Yes,Travel_Rarely,1373,Research & Development,2,Associates Degree,Other,1,4,STAFF-4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0
25-Jan-22,56,33,No,Travel_Frequently,1392,Research & Development,3,Master's Degree,Life Sciences,1,5,STAFF-5,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0
15-Jan-22,27,27,No,Travel_Rarely,591,Research & Development,2,High School,Medical,1,7,STAFF-7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2
24-Sep-22,43,32,No,Travel_Frequently,1005,Research & Development,2,Associates Degree,Life Sciences,1,8,STAFF-8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6
30-Jul-21,34,59,No,Travel_Rarely,1324,Research & Development,3,Bachelor's Degree,Medical,1,10,STAFF-10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0
09-Jul-21,325,30,No,Travel_Rarely,1358,Research & Development,24,High School,Life Sciences,1,11,STAFF-11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0
02-Jun-21,316,38,No,Travel_Frequently,216,Research & Development,23,Bachelor's Degree,Life Sciences,1,12,STAFF-12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8
18-Jan-22,202,36,No,Travel_Rarely,1299,Research & Development,27,Bachelor's Degree,Medical,1,13,STAFF-13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7
25-Aug-21,125,35,No,Travel_Rarely,809,Research & Development,16,Bachelor's Degree,Medical,1,14,STAFF-14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3
23-Nov-22,208,29,No,Travel_Rarely,153,Research & Development,15,Associates Degree,Life Sciences,1,15,STAFF-15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8
16-Oct-21,351,31,No,Travel_Rarely,670,Research & Development,26,High School,Life Sciences,1,16,STAFF-16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3
03-Dec-21,146,34,No,Travel_Rarely,1346,Research & Development,19,Associates Degree,Medical,1,18,STAFF-18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2
27-Jun-21,325,28,Yes,Travel_Rarely,103,Research & Development,24,Bachelor's Degree,Life Sciences,1,19,STAFF-19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3
